ORCIDiD,name,country,education,works
https://orcid.org/0000-0002-6776-5281,Federico Holik,Argentina,Consejo Nacional de Investigaciones Cientificas y Tecnicas,38
https://orcid.org/0000-0002-8352-4234,Roman Brunecky,,University of Colorado Health Sciences Center,35
https://orcid.org/0000-0001-7206-5231,Li-Chung Hsu,Taiwan,University of Illinois at Chicago College of Medicine,28
https://orcid.org/0000-0002-9510-6574,Yulei Sui,,,33
https://orcid.org/0000-0002-7233-7230,Igor Miljanovic,,University of Belgrade. Faculty of Mining and Geology,23
https://orcid.org/0000-0002-9260-2804,Jose Folcj,,,35
https://orcid.org/0000-0002-8009-4865,Congfeng  Xu,China,Medical Center of Fudan University,26
https://orcid.org/0000-0002-4667-8357,Humberto Ortiz-Zuazaga,Puerto Rico,University of Puerto Rico Mayaguez,25
https://orcid.org/0000-0003-2716-5502,Erik Andersson,,Stockholms Universitet Naturvetenskapliga fakulteten,45
https://orcid.org/0000-0003-2304-6661,Orazio De Lucia,Italy,University of Milan,29
https://orcid.org/0000-0002-0205-5094,Yudith del Carmen Gonz¨¢lez Valecillos,Venezuela,Instituto Universitario de Tecnolog¨ªa Antonio Jos¨¦ de Sucre ,4
https://orcid.org/0000-0001-6113-9960,Florent Demoraes,,,14
https://orcid.org/0000-0002-4677-6678,Alessandro Daducci,Italy,,18
https://orcid.org/0000-0002-3424-1086,Matthew Settles,,University of Portland,64
https://orcid.org/0000-0002-3474-2884,Francesca De Filippis,Italy,,50
https://orcid.org/0000-0002-3953-7724,Susan Walker,,Queensland University of Technology,94
https://orcid.org/0000-0003-1743-6313,Atinati Mamatsashvili,,Aix-Marseille Universit¨¦,21
https://orcid.org/0000-0003-3484-6875,K. J. Garza,Germany,University of Manchester,31
https://orcid.org/0000-0001-7075-2476,Carmen Berasain,,,104
https://orcid.org/0000-0002-8875-0943,Jessica Bell,Germany,University of New South Wales,15
https://orcid.org/0000-0002-5735-6345,F. Morant,Spain,Universitat Polit¨¨cnica de Val¨¨ncia,43
https://orcid.org/0000-0002-4582-2062,Jiri Janata,,,48
https://orcid.org/0000-0001-9388-8173,"Oliveira, JB",,,48
https://orcid.org/0000-0003-1783-6296,Ben Kinnersley,,University of Cambridge,34
https://orcid.org/0000-0001-8043-0710,Eric Laurier,United Kingdom,University of Wales          ,73
https://orcid.org/0000-0002-9471-0227,Ary Setijadi Prihatmanto,Indonesia,Institut Teknologi Bandung,126
https://orcid.org/0000-0003-0180-1865,Largus Angenent,,,146
https://orcid.org/0000-0002-4164-9047,Amy Whitehead,New Zealand,University of Canterbury,21
https://orcid.org/0000-0002-1058-9248,Paruchuri Gangadhar Rao,,National Institute of Technology Warangal,87
https://orcid.org/0000-0001-9091-6140,Kai Leung YUNG,Hong Kong SAR China,Imperial College London,158
https://orcid.org/0000-0002-8080-5030,Hanne Kirstine Adriansen,Denmark,University of Copenhagen,88
https://orcid.org/0000-0003-1453-0988,Maria Clara Nucci,,,91
https://orcid.org/0000-0001-7574-3069,konstantinos stamatiou,,National and Kapodistrian University of Athens,119
https://orcid.org/0000-0001-5415-7319,C M Frank Kneepkens,Netherlands,,110
https://orcid.org/0000-0002-0990-9419,Anna Pastore,Italy,Fondazione PTV Policlinico Tor Vergata Dipartimento di Medicina,101
